Date,Shares,Ticker,Cost
4/6/11,5.971,FSIIX,220.52
4/15/11,54.178,FSIIX,
4/15/11,0.019,FSIIX,
4/15/11,91.046,FSEMX,
4/15/11,0,FCPGX,
4/15/11,-83.075,FCPGX,
4/15/11,0,FOCPX,
4/15/11,-62.556,FOCPX,
4/15/11,0,FIGRX,
4/15/11,-28.031,FIGRX,
4/15/11,0,FDFFX,
4/15/11,-49.578,FDFFX,
4/15/11,0,FFFHX,
4/15/11,-404.874,FFFHX,
4/15/11,246.561,FFNOX,
4/15/11,0.035,FFNOX,
4/15/11,0,FICDX,
4/15/11,-20.648,FICDX,
5/5/11,7.708,FFNOX,220.52
6/10/11,7.999,FFNOX,220.52
7/7/11,7.609,FFNOX,220.52
8/4/11,8.436,FFNOX,220.52
9/7/11,8.511,FFNOX,220.52
10/7/11,8.831,FFNOX,220.52
11/7/11,8.204,FFNOX,220.52
12/7/11,8.772,FFNOX,235.08
12/16/11,2.118,FSIIX,
12/16/11,2.038,FSEMX,
12/29/11,9.36,FFNOX,
1/10/12,8.864,FFNOX,235.08
2/7/12,8.432,FFNOX,235.08
2/17/12,0,FSIIX,
2/17/12,-62.286,FSIIX,
2/17/12,62.267,FSIVX,
2/17/12,0,FSEMX,
2/17/12,-93.084,FSEMX,
2/17/12,93.061,FSEMX,
3/6/12,8.499,FFNOX,235.08
4/9/12,8.345,FFNOX,235.08
4/13/12,1.07,FSEMX,
4/13/12,0.212,FFNOX,
5/7/12,8.408,FFNOX,235.08
5/8/12,-62.267,FSIVX,
5/8/12,0,FSIVX,
5/8/12,-94.131,FSEMX,
5/8/12,0,FSEMX,
5/8/12,-431.629,FFNOX,
5/8/12,0,FFNOX,
12/1/08,30,BBRY,1200
1/14/09,50,SBUX,460
1/20/09,40,AAPL,3195.6
